model,table_size,num_features,eval_position,run,status,error,synchronized_elapsed_seconds,internal_unsynchronized_seconds
hybrid_12l,16384,100,8192,2,ok,,2.356507255928591,0.015535116195678711
tabpfn,16384,100,8192,3,ok,,2.738722976995632,0.009584903717041016
hybrid_8l,16384,100,8192,3,ok,,2.172271748073399,0.010492801666259766
hybrid_12l,16384,100,8192,3,ok,,2.478116060141474,0.01623845100402832
hydra,16384,100,8192,3,ok,,3.4797142329625785,0.0385127067565918
hybrid_12l,16384,100,8192,4,ok,,2.3598511510062963,0.016757488250732422
hybrid_8l,16384,100,8192,4,ok,,2.128051975974813,0.011642694473266602
hydra,16384,100,8192,4,ok,,3.4695300690364093,0.03988528251647949
tabpfn,16384,100,8192,4,ok,,2.802906417986378,0.009702205657958984
tabpfn,16384,100,8192,5,ok,,3.0523461289703846,0.009671688079833984
hybrid_8l,16384,100,8192,5,ok,,2.534372904105112,0.012244939804077148
hybrid_12l,16384,100,8192,5,ok,,2.7829690859653056,0.01738142967224121
hydra,16384,100,8192,5,ok,,3.9301799298264086,0.039769887924194336
hybrid_8l,16384,100,8192,6,ok,,2.5664507700130343,0.012446880340576172
hydra,16384,100,8192,6,ok,,3.9049324560910463,0.04059433937072754
hybrid_12l,16384,100,8192,6,ok,,2.7887120358645916,0.01718306541442871
tabpfn,16384,100,8192,6,ok,,3.1511854180134833,0.011621952056884766
hydra,16384,100,8192,7,ok,,3.5139052050653845,0.04423332214355469
hybrid_8l,16384,100,8192,7,ok,,2.1458088350482285,0.012994766235351562
tabpfn,16384,100,8192,7,ok,,2.7713071890175343,0.01031637191772461
hybrid_12l,16384,100,8192,7,ok,,2.390348504995927,0.015944957733154297
hydra,16384,100,8192,8,ok,,3.4830287089571357,0.03418779373168945
tabpfn,16384,100,8192,8,ok,,2.7548290530685335,0.01037287712097168
hybrid_12l,16384,100,8192,8,ok,,2.3933236710727215,0.015503406524658203
hybrid_8l,16384,100,8192,8,ok,,2.123013583011925,0.011312484741210938
hybrid_12l,16384,100,8192,9,ok,,2.3671696989331394,0.01994943618774414
hybrid_8l,16384,100,8192,9,ok,,2.2524042420554906,0.010590314865112305
tabpfn,16384,100,8192,9,ok,,2.7611837149597704,0.009759902954101562
