did,dataset_name,model,num_samples,num_features,eval_position,run,status,error,synchronized_elapsed_seconds,internal_unsynchronized_seconds,mean_metric
16,mfeat-karhunen,tabpfn,2000,64,972,7,ok,,0.314199011772871,0.056091681122779846,0.9977691769599915
16,mfeat-karhunen,hybrid_8l,2000,64,972,8,ok,,0.3033666694536805,0.041565582156181335,0.9979043006896973
16,mfeat-karhunen,tabpfn,2000,64,972,8,ok,,0.31096266955137253,0.056027679704129696,0.9976593255996704
16,mfeat-karhunen,hydra,2000,64,972,8,ok,,0.318103046156466,0.06384007912129164,0.9935581684112549
16,mfeat-karhunen,tabpfn,2000,64,972,9,ok,,0.3120431760326028,0.0563241308555007,0.9983264803886414
16,mfeat-karhunen,hydra,2000,64,972,9,ok,,0.3208682853728533,0.06383713334798813,0.9913232922554016
16,mfeat-karhunen,hybrid_8l,2000,64,972,9,ok,,0.3219749918207526,0.0414537712931633,0.9977593421936035
16,mfeat-karhunen,hydra,2000,64,972,10,ok,,0.34529819525778294,0.06404935475438833,0.9908570647239685
16,mfeat-karhunen,tabpfn,2000,64,972,10,ok,,0.31205129250884056,0.05628460552543402,0.9980225563049316
16,mfeat-karhunen,hybrid_8l,2000,64,972,10,ok,,0.2944223862141371,0.04135404247790575,0.9980211853981018
18,mfeat-morphological,hybrid_8l,2000,6,972,1,ok,,0.12353756092488766,0.04174015298485756,0.965911865234375
18,mfeat-morphological,tabpfn,2000,6,972,1,ok,,0.12146205827593803,0.05637655034661293,0.9655472040176392
18,mfeat-morphological,hydra,2000,6,972,1,ok,,0.12685225903987885,0.06384267378598452,0.9611104130744934
18,mfeat-morphological,hybrid_8l,2000,6,972,2,ok,,0.10151755530387163,0.04152064677327871,0.961776077747345
18,mfeat-morphological,tabpfn,2000,6,972,2,ok,,0.10815169289708138,0.046849521808326244,0.959438681602478
18,mfeat-morphological,hydra,2000,6,972,2,ok,,0.11437807884067297,0.05360556114464998,0.9581547379493713
18,mfeat-morphological,hydra,2000,6,972,3,ok,,0.11489274445921183,0.05345214903354645,0.9563263654708862
18,mfeat-morphological,tabpfn,2000,6,972,3,ok,,0.10778624098747969,0.0467987060546875,0.9626619219779968
18,mfeat-morphological,hybrid_8l,2000,6,972,3,ok,,0.11562399845570326,0.03475854732096195,0.9649181365966797
18,mfeat-morphological,hybrid_8l,2000,6,972,4,ok,,0.095977951772511,0.03463392984122038,0.9606669545173645
18,mfeat-morphological,tabpfn,2000,6,972,4,ok,,0.10858048498630524,0.04708969593048096,0.9615218639373779
18,mfeat-morphological,hydra,2000,6,972,4,ok,,0.1167369270697236,0.05345822125673294,0.9546549320220947
18,mfeat-morphological,hydra,2000,6,972,5,ok,,0.11507348623126745,0.053461017087101936,0.9624843597412109
18,mfeat-morphological,hybrid_8l,2000,6,972,5,ok,,0.09717681258916855,0.03457833454012871,0.9652762413024902
18,mfeat-morphological,tabpfn,2000,6,972,5,ok,,0.10852286592125893,0.046977183781564236,0.965533971786499
18,mfeat-morphological,hybrid_8l,2000,6,972,6,ok,,0.09551443252712488,0.03456135280430317,0.9598772525787354
