did,split,hybrid_8l,tabpfn,hydra,best_model,best_score,margin_to_second
40966,1,1.0,1.0,0.9983229637145996,hybrid_8l,1.0,0.0
40966,2,1.0,1.0,0.998745322227478,hybrid_8l,1.0,0.0
40966,3,1.0,1.0,0.9987596869468689,hybrid_8l,1.0,0.0
40966,4,1.0,1.0,0.99431312084198,hybrid_8l,1.0,0.0
40966,5,1.0,1.0,0.9983811378479004,hybrid_8l,1.0,0.0
40975,1,0.9857921004295349,0.9893051385879517,0.9441826343536377,tabpfn,0.9893051385879517,0.003513038158416748
40975,2,0.9934856295585632,0.9878180027008057,0.950622022151947,hybrid_8l,0.9934856295585632,0.005667626857757568
40975,3,0.9803665280342102,0.9831019043922424,0.9404813051223755,tabpfn,0.9831019043922424,0.0027353763580322266
40975,4,0.9686700701713562,0.9798450469970703,0.9397530555725098,tabpfn,0.9798450469970703,0.011174976825714111
40975,5,0.994560182094574,0.996954083442688,0.9575151801109314,tabpfn,0.996954083442688,0.0023939013481140137
40982,1,0.9640443325042725,0.9664533138275146,0.9330435991287231,tabpfn,0.9664533138275146,0.0024089813232421875
40982,2,0.9541487097740173,0.9585980176925659,0.9254529476165771,tabpfn,0.9585980176925659,0.004449307918548584
40982,3,0.9374843239784241,0.9442482590675354,0.9121869206428528,tabpfn,0.9442482590675354,0.006763935089111328
40982,4,0.9603618383407593,0.963434100151062,0.9305335283279419,tabpfn,0.963434100151062,0.0030722618103027344
40982,5,0.9383912682533264,0.9439412951469421,0.897258996963501,tabpfn,0.9439412951469421,0.005550026893615723
40994,1,0.9406583905220032,0.9311176538467407,0.9322709441184998,hybrid_8l,0.9406583905220032,0.008387446403503418
40994,2,0.9440982341766357,0.9411656856536865,0.9435483813285828,hybrid_8l,0.9440982341766357,0.0005498528480529785
40994,3,0.9402100443840027,0.9381775259971619,0.9037940502166748,hybrid_8l,0.9402100443840027,0.0020325183868408203
40994,4,0.938854992389679,0.9441056847572327,0.9419037699699402,tabpfn,0.9441056847572327,0.0022019147872924805
40994,5,0.9527125954627991,0.9506964683532715,0.9497800469398499,hybrid_8l,0.9527125954627991,0.002016127109527588
